,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
151,Restricted Area,Center(C),1,-14,5,1
152,Restricted Area,Center(C),0,-5,0,1
153,In The Paint (Non-RA),Center(C),5,2,58,1
154,Above the Break 3,Center(C),26,60,257,0
155,In The Paint (Non-RA),Center(C),5,4,52,0
156,Restricted Area,Center(C),1,-18,1,1
157,Restricted Area,Center(C),2,-24,7,1
158,Restricted Area,Center(C),2,-3,23,1
159,In The Paint (Non-RA),Center(C),10,22,100,1
160,Above the Break 3,Left Side Center(LC),27,-195,191,0
161,Left Corner 3,Left Side(L),25,-237,83,0
162,In The Paint (Non-RA),Right Side(R),8,62,64,0
163,Restricted Area,Center(C),1,-8,15,1
164,Mid-Range,Right Side(R),18,179,48,0
165,In The Paint (Non-RA),Center(C),6,-25,58,1
166,Above the Break 3,Right Side Center(RC),26,90,249,0
167,Above the Break 3,Left Side Center(LC),25,-188,169,0
168,In The Paint (Non-RA),Center(C),4,-39,15,0
169,Restricted Area,Center(C),0,0,-6,1
170,Above the Break 3,Center(C),27,19,274,0
171,Mid-Range,Center(C),20,-16,209,0
172,Restricted Area,Center(C),2,-11,22,0
173,Above the Break 3,Left Side Center(LC),26,-138,229,0
174,Above the Break 3,Left Side Center(LC),26,-177,197,0
175,Restricted Area,Center(C),3,32,20,1
176,Restricted Area,Center(C),3,29,8,0
177,Restricted Area,Center(C),1,5,15,1
178,Above the Break 3,Right Side Center(RC),27,109,252,1
179,Restricted Area,Center(C),2,-6,24,0
180,Restricted Area,Center(C),2,11,21,1
181,Mid-Range,Center(C),20,-53,197,0
182,Mid-Range,Right Side Center(RC),17,122,131,0
183,Restricted Area,Center(C),0,2,4,1
184,Restricted Area,Center(C),1,1,11,1
185,Above the Break 3,Right Side Center(RC),26,185,189,0
186,In The Paint (Non-RA),Center(C),5,53,6,0
187,In The Paint (Non-RA),Center(C),6,-8,69,1
188,Mid-Range,Center(C),16,44,162,0
189,Mid-Range,Right Side Center(RC),17,124,120,0
190,In The Paint (Non-RA),Center(C),4,35,20,1
191,Left Corner 3,Left Side(L),23,-229,62,0
192,Restricted Area,Center(C),1,5,10,1
193,Above the Break 3,Right Side Center(RC),25,119,224,1
194,Restricted Area,Center(C),3,35,5,1
195,Above the Break 3,Left Side Center(LC),25,-201,153,0
196,Above the Break 3,Left Side Center(LC),24,-195,143,0
197,In The Paint (Non-RA),Center(C),5,43,27,0
198,Restricted Area,Center(C),0,-3,4,1
199,In The Paint (Non-RA),Center(C),5,5,52,0
200,Above the Break 3,Center(C),26,72,255,0
201,In The Paint (Non-RA),Center(C),4,0,45,0
202,Mid-Range,Right Side(R),11,93,61,0
203,Restricted Area,Center(C),0,-5,5,0
204,Restricted Area,Center(C),0,0,8,1
205,Above the Break 3,Right Side Center(RC),26,157,211,1
206,Restricted Area,Center(C),2,14,15,0
207,Mid-Range,Right Side Center(RC),19,110,162,0
208,Above the Break 3,Center(C),28,-11,288,0
209,Restricted Area,Center(C),1,-5,10,0
210,Above the Break 3,Center(C),26,73,253,1
211,In The Paint (Non-RA),Center(C),4,8,45,1
212,Left Corner 3,Left Side(L),22,-222,5,0
213,Restricted Area,Center(C),2,9,20,1
214,In The Paint (Non-RA),Center(C),12,55,114,0
215,In The Paint (Non-RA),Center(C),5,-13,58,0
216,Right Corner 3,Right Side(R),23,234,1,0
217,Restricted Area,Center(C),1,-9,7,1
218,Restricted Area,Center(C),1,-2,15,0
219,Restricted Area,Center(C),3,30,20,0
