,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
552,Restricted Area,Center(C),2,27,3,1
553,Restricted Area,Center(C),3,-35,6,0
554,Above the Break 3,Left Side Center(LC),27,-189,197,0
555,Above the Break 3,Left Side Center(LC),29,-156,247,0
556,Above the Break 3,Center(C),27,72,264,0
557,Mid-Range,Center(C),18,25,185,0
558,Restricted Area,Center(C),3,32,9,0
559,Above the Break 3,Right Side Center(RC),24,110,221,1
560,Above the Break 3,Center(C),25,25,257,0
561,Above the Break 3,Right Side Center(RC),34,174,300,0
562,In The Paint (Non-RA),Center(C),6,-13,63,0
563,Above the Break 3,Right Side Center(RC),30,181,243,0
564,Above the Break 3,Right Side Center(RC),27,90,256,1
565,Above the Break 3,Center(C),27,13,274,0
566,Mid-Range,Right Side Center(RC),21,95,195,1
567,Above the Break 3,Center(C),25,12,258,0
568,In The Paint (Non-RA),Center(C),5,-24,48,0
569,Restricted Area,Center(C),3,27,14,0
570,Mid-Range,Center(C),21,-20,210,0
571,Restricted Area,Center(C),3,6,38,0
